personajes,Género
marge simpson,F
homer simpson,M
seymour skinner,M
janey,F
todd flanders,M
dewey largo,M
children,
bart simpson,M
lisa simpson,F
patty bouvier,F
ned flanders,M
waylon smithers,M
c montgomery burns,M
moe szyslak,M
barney gumble,M
students,
teacher,
selma bouvier,F
voice,
little boy,M
milhouse van houten,M
lewis clark,M
clerk,M
grampa simpson,M
father,F
announcer,
martin prince,M
kids,
edna krabappel-flanders,F
conductor,M
secretary,F
otto mann,M
wendell borton,M
sherri mackleberry,F
terri mackleberry,F
narrator,M
foreman,M
chief wiggum,M
crowd,
eddie,M
lou,M
dr marvin monroe,M
receptionist,F
nelson muntz,M
kid,
maggie simpson,F
herman hermann,M
all,
jacqueline bouvier,F
barflies,
cashier,
woman,
ralph wiggum,M
rod flanders,M
salesman,M
reporter 1,M
man 2,M
krusty the clown,M
rev timothy lovejoy,M
jimbo jones,M
kearney zzyzwicz,M
dolph,M
usher,M
sideshow bob,M
mob,
security guard,M
lenny leonard,M
carl carlson,M
waiter,M
workers,
manager,M
stage manager,M
gulliver dark,M
krusty doll,M
agnes skinner,F
mother,F
female announcer,F
apu nahasapeemapetilon,M
kent brockman,M
lawyer,M
judge snyder,M
director,M
arnie pye,M
radio announcer,M
nurse,F
marty,M
bill,M
mayor joe quimby,M
kang,M
kodos,M
dave shutton,M
tv announcer,M
jasper beardly,M
singers,
vendor,M
maude flanders,F
helen lovejoy,F
librarian,F
man,M
announcer 2,M
audience,
dr julius hibbert,M
scratchy,M
itchy,M
reporter,M
lionel hutz,M
dr nick riviera,M
bailiff,M
blue-haired lawyer,M
larry,M
groundskeeper willie,M
mona simpson,F
attendant,M
troy mcclure,M
farmer,M
guard,M
professor jonathan frink,M
delivery man,M
chuck,M
miss hoover,F
captain,M
customer,
teller,M
guard 1,M
guard 2,M
host,M
orderly,M
wiseguy,M
doctor,M
snake jailbird,M
pilot,M
worker,
girl,F
wife,F
executive,M
fat tony,M
legs,M
louie,M
luann van houten,F
rabbi hyman krustofsky,M
waitress,F
stagehand,M
townspeople,
robot,
lunchlady doris,F
football announcer,M
girls,
aide,M
everyone,
bartender,M
charlie,M
driver,M
boy,M
sideshow mel,M
tour guide,M
employee,
god,
comic book guy,M
kirk van houten,M
teachers,
santa claus,M
bumblebee man,M
squeaky-voiced teen,M
mailman,M
old woman,F
captain horatio mccallister,M
hans moleman,M
reporters,
boys,
santas little helper,
cat,
gary chalmers,M
hitler,M
actor,M
assistant,
rainier wolfcastle,M
sarah wiggum,F
womans voice,F
workman,M
technician,M
female executive,F
congregation,
bill clinton,M
cletus spuckler,M
class,
luigi,M
old jewish man,M
snowball ii,
Üter,M
the rich texan,M
database,
disco stu,M
brandine del roy,F
simpsons,
women,
manjula nahasapeemapetilon,F
drederick tatum,M
bernice hibbert,F
paramedic,M
duffman,M
gil gunderson,M
mr teeny,
bullies,
cat lady,F
cow,
minister,M
mrs muntz,F
lindsay naegle,F
johnny tightlips,M
springfielders,
cookie kwan,F
julio,M
coach krupt,M
lunchlady dora,F
shauna chalmers,F
